school name,principal name,contact no,email
 Loyola SchoolSreekaryam , Fr Devassy Paul SJ ,04712598585,loyolaschooltvm@yahoo.com
 S N V H S S Anad , Beena.V.S ,04722812280,snvhsanad@gmail.com
 P H M K M V H S SPanavoor , PREMKALA I G ,04722865126,principalphmkmvhsspanavoor@gmail.com
 Govt. H S SAruvikkara , PUSHPA GEORGE N ,2888233,ghssaruvikkara@gmail.com
 Govt. T H SMeenankal , SAILAJA.R ,04722892094,gths.meenankal@yahoo.com
 Govt. V & H S SAryanad , JYOTHISH JALAN D V ,04722852255,gvhssaryanad@yahoo.in
 Govt. Model HSS ForBoys Attingal , BINDU K ,04702622283,gbhsattingal@gmail.com
 Govt V H S SAlamcode , SATHI J S ,04702620270,alamcodehs@yahoo.com
 Govt H S S For GirlsAttingal , LATHAKUMARI A ,04702622597,gghssattingal@gmail.com
 Navabharath E M H SS Attingal , SURESHLAL.D ,04702623877,navabharathemhssattingal@gmail.com
 Govt. H S S Elampa , SHAJIKUMAR. S ,04702639006,ghsselampa@gmail.com
 Sr.Elizabeth Joel CS I E M H S SAttingal , SINI THOMAS ,04702620010,sr.elizabethcsischool@gmail.com
 S C V B H SChirayinkeezhu , S S SHAJI ,04702640208,scvbhschirayinkeezhu@gmail.com
 S S V G H S SChirayinkeezhu , SHAJI S S ,9447557551,ssvghschirayinkeezhu@gmail.com
 P N M G H S SKoonthalloor , SANDHYA S ,04702640216,pnmghsskoonthalloor@gmail.com
 M R M K M M H S SEdava , M.S.ABDUL JALEEL ,04702660721,edavamrmkmmhss@gmail.com
 L F E M H S S Edava , LATHA SURENDRAN ,04702660156,edavalittleflower@gmail.com
 G H S S Kappil , SHEEBA A ,04702661877,ghskappil@gmail.com
 S S P B H S SKadakkavoor , SOBHA.S.K ,04702656808,sspbhskadakavur@gmail.com
 G S N V H S SKadakkavoor , LALI.S.KHAN ,04702658497,snvghsskadakkavur@gmail.com
 Govt H SAvanavancheri , ANILARANI T T ,04702632163,ghsavanavanchery@gmail.com
 St.Joseph's  H S SAnchuthengu , Shirley Pereira ,04702657900,stjosephshssanj@gmail.com
 G H S S KAVALAYOOR , LATHAKUMARY A ,04702689078,ghsskavalayur@gmail.com
 R R V B V H S SKilimanoor , VENU.G.POTTI ,04702672485,rrvbvhss@gmail.com
 Govt. HSS Kilimanoor , AJITHA S ,04702673055,ghsskilimanoor.kmr@gmail.com
 Govt. Boys H.S.S.Mithirmala , KUMARI REMA S ,04722820503,minikumai63915@gmail.com
 Govt. Girls H.S.S.Mithirmala , SREEKALA CS ,04722820754,gghssmithirmala@gmail.com
 Govt. H.S.S.Bharathannoor , JAYAN V ,04722869292,ghssbtr@yahoo.com
 S.K.V.H.S. Nanniyode , RANI .S ,04722840242,skvhsnanniyode@gmail.com
 Govt. H.S.Madatharakani , SULEENA.S ,04742443192,ghsmadatharakani@gmail.com
 B.R.M.H.S. Elavattom , Rajanee Devi.B.S ,04722840754,hmbrmhselavattom@yahoo.in
 N.S.S.H.S. Palode , SREEKALA . S ,04722845015,nsspalode@gmail.com
 S K V H SKadampattukonam , VIJAYAKUMAR R K ,04702682376,skvhskadamp@gmail.com
 Govt. HSS Navaikulam , SINI M HALLAJ ,04702692092,navaikulamhs@gmail.com
 Govt V H S S Njekkad , MADHUSOODANAN NAIR S ,04702692274,gvhssnjekkad@gmail.com
 L M S H S SVattappara , S MINI ,04722585442,lmshssvattappara@gmail.com
 Govt. V H S S ForBoys Nedumangad , RASEENA.M.J ,04722812328,bvhssmancha@yahoo.co.in
 Manarulhuda E M H SNedumangad , Thamimul Ansari ,04722802398,mhhssndd@email.com
 Govt. H S SPoovathoor , SURESH S ,04722801423,ghsspoovathoor@yahoo.in
 Govt. H S Karippoor , BINDHU G ,04722812143,ghskarippoor@yahoo.co.in
 S N H S SUzhamalakkal , V.S. Sreeja ,04722898156,officesnhss@gmail.com
 Govt. H S S ForGirls Nedumangad , MINI A ,04722802492,ghssndd@gmail.com
 Darsana H S SNedumangad , RAKENDU.S.M ,04722812564,darsanaehssnedumangad@gmail.com
 Govt. V & H S SVellanad , RAJIKUMARI S V ,04722882032,hmvellanadhs@gmail.com
 Vikas Bhavan H SMithraniketan , SETHU VISWANATHAN ,04722884066,vbhsmitra@yahoo.com
 S N V H S SNedunganda , BINDU.K ,04702600762,snvhssnedunganda12@gmail.com
 Govt.V & HSSPakalkuri , LUCKY N S ,04702682056,pakalkurihs@gmail.com
 NSSHS Madavoor , Sudarsana Babu V ,04702682096,headmistressnsshs@gmail.com
 Govt. HSS Pallickal , RAJEENA BEEGOM M A ,04702682578,ghsspallickalattingal@gmail.com
 V H S S Karavaram , ARUN SEKHAR R ,04702692380,vhsskaravaram@gmail.com
 Govt H S SVenjaramood , MOHAMED ASHREF T ,2872124,ghssvenjmd@gmail.com
 G H S S Vakkom , SUDHAKARAN K K ,04702653771,gvhssvakkom@gmail.com
 Sivagiri H S SVarkala , A P SASIKALA ,04702603010,sivagirihss@gmail.com
 G H S S Palayamkunnu , PRADEEP V ,04702667217,palayamkunnughss@gmail.com
 Mulamana V.H.S.S.Anakudy , Sreelatha.R.P ,04722835105,mulamanaschool@yahoo.in
 DBHS Vamanapuram , K R VINOD KUMAR ,04702836138,dbhsvpm@gmail.com
 G M H S Nadayara , SAILA.R ,04702600292,gmhsnadayara@gmail.com
 G M H S S Varkala , V K NAZAR ,04702602278,hmgmhssvarkala@gmail.com
 Govt. V & H.S.S.Vithura , DEEPA P ,04722856202,gvhssvithura@gmail.com
 Govt. H.S. Anappara , Premabhai J I ,04722856509,ghsanappara@yahoo.com
 Govt. H.S.S.Tholicode , ASMA BEEVI M ,04722879595,ghsstholicode@gmail.com
 V.K.Kani Govt. H.S.Panacode , SANTHOSH KUMAR C ,04722879633,vkkpancd@gmail.com
 G H S S Vettoor , MINI H.M ,04702602023,ghssvettoor@gmail.com
 R R V   G H S SKilimanoor , Jyothi.S ,04702672185,rrvghss@yahoo.com
 Govt. HSSThattathumala , SANTHOSH KUMAR A R ,04702649646,ghsssthattathumala@gmail.com
 Govt. V & H S SKarakulam , SUBHAMONI A ,04712371822,hakarakulam@yahoo.com
 Iqbal H.S.S.Peringammala , JASMINE S ,04722845543,iqbalhss7@gmail.com
 G H S Cherunniyoor , SUNITHA .K ,04702601101,ghscherunniyoor@gmail.com
 Govt. HS NagaroorNedumparampu , SUJI SADANAND ,04702678467,nagaroorghs@gmail.com
 Janatha H S SThempammood , PRADEEP NARAYAN M K ,04722829119,janatha42070@gmail.com
 Govt. V.H.S.S.Kallara , SURESHKUMAR  V G ,04722860805,gvhsskallara@gmail.com
 Govt. H S S Azhoor , Letha Devi .S  ,04702635586,govthsazhoor@gmail.com
 SNVHSS Panayara , AJITHAKUMARI. A.R ,9496390022,snvhspanayara@yahoo.com
